,Nome,Plataforma,Ano,Categoria,Desenvolvedora,Vendas_NA,Vendas_EU,Vendas_JP,Vendas_Outros,Vendas_Globais
0,NASCAR Thunder 2004,PS2,2003.0,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08
1,Prince of Persia,PS3,2008.0,Action,Ubisoft,0.47,0.41,0.03,0.18,1.08
2,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41,0.0,0.14,1.08
3,Grand Theft Auto V,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
4,The Biggest Loser,Wii,2009.0,Sports,THQ,0.87,0.12,0.0,0.09,1.08
5,Fisherman's Bass Club,PS2,2002.0,Sports,Agetec,0.53,0.41,0.0,0.14,1.08
6,MySims Agents,DS,2009.0,Adventure,Electronic Arts,0.55,0.43,0.0,0.11,1.08
7,Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,Capcom,0.48,0.32,0.2,0.09,1.08
8,NCAA Football 13,X360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08
9,Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,Take-Two Interactive,0.28,0.5,0.03,0.28,1.08
10,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.08
11,The Orange Box,PS3,2007.0,Shooter,Electronic Arts,0.28,0.59,0.0,0.22,1.08
12,Joust,2600,1982.0,Platform,Atari,1.01,0.06,0.0,0.01,1.08
13,Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.43,0.01,0.11,1.08
14,Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08
15,DiRT 3,PS3,2011.0,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08
16,LEGO City Undercover,WiiU,2013.0,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08
17,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08
18,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08
19,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08
20,Disney's Lilo & Stitch,GBA,2002.0,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08
21,Star Fox: Assault,GC,2005.0,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
22,Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,Namco Bandai Games,0.49,0.35,0.09,0.16,1.08
23,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08
24,NCAA Football 14,X360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.06,1.07
25,Doko Demo Issyo,PS,1999.0,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07
26,Call of Duty 3,PS2,2006.0,Shooter,Activision,0.89,0.03,0.0,0.15,1.07
27,Imagine: Fashion Designer New York,DS,2008.0,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07
28,Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,Take-Two Interactive,0.57,0.39,0.02,0.09,1.07
29,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.07
30,Virtua Fighter,SAT,1994.0,Fighting,Sega,0.17,0.12,0.77,0.02,1.07
31,Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07
32,WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,THQ,0.53,0.01,0.0,0.54,1.07
33,Pro Evolution Soccer 2008,X360,2007.0,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07
34,Super Princess Peach,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07
35,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07
36,SoulCalibur III,PS2,2005.0,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07
37,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07
38,F1 2012,PS3,2012.0,Racing,Codemasters,0.12,0.64,0.05,0.25,1.07
39,World Tour Soccer,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07
40,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
41,Ridge Racer Revolution,PS,1995.0,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
42,LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07
43,Hot Wheels Turbo Racing,PS,1999.0,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07
44,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
45,Mortal Kombat: Armageddon,PS2,2006.0,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06
46,Aliens vs Predator,X360,2010.0,Shooter,Sega,0.55,0.4,0.0,0.11,1.06
47,Freekstyle,PS2,2002.0,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06
48,Junior Brain Trainer,DS,2008.0,Misc,GSP,0.23,0.74,0.0,0.1,1.06
49,Darksiders,X360,2010.0,Action,THQ,0.67,0.29,0.01,0.1,1.06
50,DiRT,PS3,2007.0,Racing,Codemasters,0.16,0.67,0.0,0.23,1.06
51,Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,Activision,0.96,0.02,0.01,0.08,1.06
52,Simple 1500 Series Vol. 1: The Mahjong,PS,1998.0,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06
